NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
7.199999999999999,64.4,53.0,12.8,1.0,12.8,7.199999999999999,0.0
13.4,0.0,51.4,36.199999999999996,12.2,0.0,0.0,0.0
64.60000000000001,74.4,39.0,4.8,29.599999999999998,4.8,47.8,0.0
88.4,100.0,17.2,0.0,15.8,0.0,88.4,0.0
33.800000000000004,0.0,49.6,26.400000000000002,25.8,0.0,0.0,0.0
60.8,100.0,44.0,0.2,19.2,0.2,60.8,0.0
0.0,0.0,62.0,53.2,0.0,0.0,0.0,0.0
0.0,48.6,60.199999999999996,40.8,0.0,38.4,0.0,0.0
41.6,3.4000000000000004,48.0,15.6,28.599999999999998,0.0,0.0,0.0
0.0,4.8,62.6,52.400000000000006,0.0,4.8,0.0,0.0
0.0,100.0,58.8,14.2,0.0,14.2,0.0,0.0
86.2,99.8,22.400000000000002,1.0,22.0,1.0,86.0,0.0
19.400000000000002,0.0,51.4,34.4,18.0,0.0,0.0,0.0
17.599999999999998,100.0,52.2,9.8,9.4,9.8,17.599999999999998,0.0
0.0,65.0,60.199999999999996,18.4,0.0,18.4,0.0,0.0
58.599999999999994,13.0,45.0,9.4,32.2,0.8,5.6000000000000005,0.0
0.0,0.0,57.199999999999996,43.8,0.0,0.0,0.0,0.0
70.0,9.2,39.6,6.800000000000001,33.0,0.4,5.4,0.0
74.4,13.200000000000001,34.4,4.8,31.0,1.0,7.3999999999999995,0.0
21.2,0.0,51.0,26.6,17.8,0.0,0.0,0.0
0.8,0.0,56.00000000000001,38.4,0.8,0.0,0.0,0.0
0.0,0.0,56.8,40.0,0.0,0.0,0.0,0.0
0.0,100.0,59.4,13.600000000000001,0.0,13.600000000000001,0.0,0.0
1.4000000000000001,100.0,56.2,13.0,0.6,13.0,1.4000000000000001,0.0
0.0,0.0,56.99999999999999,39.2,0.0,0.0,0.0,0.0
